Title,Author,Price,Link,ISBN
"QUIERO MORIR, PERO TAMBIEN COMER TTEOKBOKKI",Baek Sehee,18900,https://feriachilenadellibro.cl/producto/9788492917211-quiero-morir-pero-tambien-comer-tteokbokki/,9788492917211
PLACERES MORTALES,Belen Martinez,25900,https://feriachilenadellibro.cl/producto/9789566196730-placeres-mortales/,9789566196730
ORGANIZATE CON EFICACIA (ED.REVISADA),David Allen,24900,https://feriachilenadellibro.cl/producto/9788416997862-organizate-con-eficacia-ed-revisada/,9788416997862
MAÑANA A ESTA HORA,Emma Straub,25900,https://feriachilenadellibro.cl/producto/9788419030429-manana-a-esta-hora/,9788419030429
LOS FRAGILES HILOS DEL PODER,V. E. Schwab,31900,https://feriachilenadellibro.cl/producto/9788419030665-los-fragiles-hilos-del-poder/,9788419030665
LOS CIEN AMORES DE JULIETA,Evelyn Skye,24900,https://feriachilenadellibro.cl/producto/9788419030634-los-cien-amores-de-julieta/,9788419030634
LAS DIURNAS,Andrea Tome,23900,https://feriachilenadellibro.cl/producto/9788419030726-las-diurnas/,9788419030726
LA SOMBRA MAS ARDIENTE,Jennifer Armentrout,26900,https://feriachilenadellibro.cl/producto/9788419131379-la-sombra-mas-ardiente/,9788419131379
LA LUNA DEL CAZADOR,Costa Alcala,24900,https://feriachilenadellibro.cl/producto/9788419030719-la-luna-del-cazador/,9788419030719
LA HIJA DEL DOCTOR MOREAU,Silvia Moreno-Garcia,24900,https://feriachilenadellibro.cl/producto/9788492919307-la-hija-del-doctor-moreau/,9788492919307
EL REY,Jennifer Armentrout,19900,https://feriachilenadellibro.cl/producto/9788419131454-el-rey/,9788419131454
EL MAPA DE TU ALMA,Jennifer Freed,21900,https://feriachilenadellibro.cl/producto/9788416344857-el-mapa-de-tu-alma/,9788416344857
EL LIBRO DE LAS SOMBRAS,Jordi Ribolleda,26900,https://feriachilenadellibro.cl/producto/9788419030689-el-libro-de-las-sombras/,9788419030689
