Nombre,Precio,Autor,Imagen
Las Mil Y Una Noches,$16.990,ANONIMO,"https://www.antartica.cl/media/catalog/product/9/7/9788497945301_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Las Mil Y Una Noche  (Clasicos),$22.020,ANONIMO,"https://www.antartica.cl/media/catalog/product/9/7/9788417430481_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Dracula,$12.000,"STOKER, BRAM","https://www.antartica.cl/media/catalog/product/9/7/9788491056348_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Pack Sherlock Holmes,$49.990,"CONAN DOYLE, SIR ARTHUR","https://www.antartica.cl/media/catalog/product/9/7/9788419087232_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Secreto De Spinoza,$15.330,"RODRIGUEZ, JOSE","https://www.antartica.cl/media/catalog/product/9/7/9789569973499_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Matrix,$9.900,"GROFF, LAUREN","https://www.antartica.cl/media/catalog/product/9/7/9788426488909_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
After Dark,$12.530,"MURAKAMI, HARUKI","https://www.antartica.cl/media/catalog/product/9/7/9789569961762_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Trama,$8.800,"KORELITZ, JEAN HANFF","https://www.antartica.cl/media/catalog/product/9/7/9788418870965_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Mirabella Y El Bosque De Las Brujas,$9.100,"MUNCASTER, HARRIET","https://www.antartica.cl/media/catalog/product/9/7/9789563844382_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Mas Vivo Que El Diablo,$22.330,"HILL, NAPOLEON","https://www.antartica.cl/media/catalog/product/9/7/9789878354965_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Piense Y Hagase Rico,$25.840,"HILL, NAPOLEON","https://www.antartica.cl/media/catalog/product/9/7/9789878466019_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Cronica Del Pajaro Que Da Cuerda Al Mundo,$15.330,"MURAKAMI, HARUKI","https://www.antartica.cl/media/catalog/product/9/7/9789569961786_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Estacion,$13.750,"DE MICHELIS, JACOPO","https://www.antartica.cl/media/catalog/product/9/7/9789566205210_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Historia Secreta De La Bomba Atomica,$19.530,"WATSON, PETER","https://www.antartica.cl/media/catalog/product/9/7/9789569993381_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Mensaje De Las Lagrimas,$13.930,"FREDIANI, ANDREA","https://www.antartica.cl/media/catalog/product/9/7/9789566195788_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Malnacida,$9.900,"SALVIONI, BEATRICE","https://www.antartica.cl/media/catalog/product/9/7/9789566058625_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Un Barbaro En Paris,$19.000,"VARGAS LLOSA, MARIO","https://www.antartica.cl/media/catalog/product/9/7/9788420475608_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Hermandad De Las Malas Hijas,$11.000,"MONTFORT, VANESSA","https://www.antartica.cl/media/catalog/product/9/7/9789566129646_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Metodo Silva De Control Mental,$8.400,"SILVA, JOSE","https://www.antartica.cl/media/catalog/product/9/7/9788498724516_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Los Rebeldes De Roma,$13.930,"SIDEBOTTOM, HARRY","https://www.antartica.cl/media/catalog/product/9/7/9789569973468_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Ultra Fome,$8.800,PUKLIN,"https://www.antartica.cl/media/catalog/product/9/7/9789566206095_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Los Hombres Que No Amaban A Las Mujeres  (Serie Millennium #1),$9.030,"LARSSON, STIEG","https://www.antartica.cl/media/catalog/product/9/7/9789507324598_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Pensar Bien, Sentirse Bien",$13.230,"RISO, WALTER","https://www.antartica.cl/media/catalog/product/9/7/9789564084374_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Poder Y Progreso,$23.030,"ACEMOGLU, DARON","https://www.antartica.cl/media/catalog/product/9/7/9789569993442_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Recupera Tu Mente, Reconquista Tu Vida",$24.900,"ROJAS, MARIAN","https://www.antartica.cl/media/catalog/product/9/7/9789569973581_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
G3 Honor Y Traicion,$19.990,"CRESPO, CLAUDIO","https://www.antartica.cl/media/catalog/product/9/7/9789566239055_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Como Hacer Que Te Pasen Cosas Buenas,$19.900,"ROJAS, MARIAN","https://www.antartica.cl/media/catalog/product/9/7/9789569973055_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Alas De Sangre (Empireo #1),$22.900,"YARROS, REBECCA","https://www.antartica.cl/media/catalog/product/9/7/9789564084268_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Asistenta,$17.000,"MCFADDEN, FREIDA","https://www.antartica.cl/media/catalog/product/9/7/9789566190288_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Alas De Hierro (Empireo #2),$26.900,"YARROS, REBECCA","https://www.antartica.cl/media/catalog/product/9/7/9789564084961_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Secreto De La Asistenta,$17.000,"MCFADDEN, FREIDA","https://www.antartica.cl/media/catalog/product/9/7/9789566190325_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Habitos Atomicos,$23.900,"CLEAR, JAMES","https://www.antartica.cl/media/catalog/product/9/7/9789569987632_1_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Encuentra Tu Persona Vitamina,$19.900,"ROJAS, MARIAN","https://www.antartica.cl/media/catalog/product/9/7/9789569973222_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Del Diario De Vida Que Nunca Escribi,$15.000,"RIVERA LETELIER, HERNAN","https://www.antartica.cl/media/catalog/product/9/7/9789563844702_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Violeta (Edicion Limitada),$8.000,"ALLENDE, ISABEL","https://www.antartica.cl/media/catalog/product/9/7/9788466374620_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Los Siete Maridos De Evelyn Hugo,$18.900,"JENKINS REID, TAYLOR","https://www.antartica.cl/media/catalog/product/9/7/9789567042517_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Soldado Por Circunstancia,$20.000,"PARVEX, GUILLERMO","https://www.antartica.cl/media/catalog/product/9/7/9789566355007_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
A Vuelo De Pajaro,$20.000,"SERRANO, MARCELA","https://www.antartica.cl/media/catalog/product/9/7/9789563844597_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Destroza Este Diario Ahora A Todo Color,$18.900,"SMITH, KERI","https://www.antartica.cl/media/catalog/product/9/7/9789566195740_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Asesinato Para Principiantes,$19.900,"JACKSON, HOLLY","https://www.antartica.cl/media/catalog/product/9/7/9789566145653_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Ikigai,$13.900,"MIRALLES, FRANCESC","https://www.antartica.cl/media/catalog/product/9/7/9789566196440_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Ciudad Y Sus Muros Inciertos,$27.900,"MURAKAMI, HARUKI","https://www.antartica.cl/media/catalog/product/9/7/9789569961946_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Armadura De La Luz (Los Pilares De La Tierra #5),$16.500,"FOLLETT, KEN","https://www.antartica.cl/media/catalog/product/9/7/9789566129592_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Los Cuatro Acuerdos,$14.000,"RUIZ, MIGUEL","https://www.antartica.cl/media/catalog/product/9/7/9789567042692_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
9 De Noviembre,$19.900,"HOOVER, COLLEEN","https://www.antartica.cl/media/catalog/product/9/7/9789564085395_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
"Milei, La Revolucion Que No Vieron Venir",$28.000,"MARQUEZ, NICOLAS; DUCLOS, MARCELO","https://www.antartica.cl/media/catalog/product/9/7/9789878916842_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Hack Yourself. La Vida Como Tu Mayor Emprendimiento,$15.000,"LARA MARTINEZ, BARBARITA","https://www.antartica.cl/media/catalog/product/9/7/9789566184805_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Aun Siguen Aqui,$20.900,"JEWELL, LISA","https://www.antartica.cl/media/catalog/product/9/7/9789566145752_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
