Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories,AvgRating,RatingsCount
Los cuentos de los hermanos Grimm,Noel Daniel,22320,https://contrapunto.cl/libro-album-ilustrado/1802-cuentos-de-los-hermanos-grimm-los-ed-pequena.html,9783836548328,"This precious anthology presents 14 of the most beloved fairy tales of the Brothers Grimm in unique pictorial splendor, combining exquisite vintage illustrations from Kay Nielsen, Walter Crane, and Herbert Leupin with delicate historic and contemporary silhouettes.",2017-04-26,http://books.google.com/books/content?id=RmS9tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Design'],,
Pare. Libro rompecabezas,Aino-Maija Metsola,6480,https://contrapunto.cl/actividades-y-libro-juego/986-aprende-jugando-libro-rompecabezas-pare.html,9789562571531,,,,,,
Cuentos para niños de 3 años,Colección: Cuentos por edad,7920,https://contrapunto.cl/prelectores/8796-coleccion-de-cuentos-para-ninos-de-3-anos.html,9781680528749,,2019-12-17,http://books.google.com/books/content?id=Pv_ZyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction'],,
Armonía cromática. Edición pantone,Leatrice Eiseman,30420,https://contrapunto.cl/diseno-grafico/666-armonia-cromatica-edicion-pantone.html,9788416965960,,2018,,['Art'],,
Mis primeros animales de la jungla,Liz Forester,10620,https://contrapunto.cl/prelectores/8186-mis-primeros-animales-de-la-jungla.html,9789562572064,,,,,,
Kawaii. Hand lettering,Cindy Guentert-Baldo,16920,https://contrapunto.cl/dibujo-y-pintura/10007-kawaii-hand-lettering.html,9789463593649,,,,,,
No sé dibujar,Lydia Crook,13140,https://contrapunto.cl/guias-de-dibujo/10162-no-se-dibujar.html,9789562572576,,,,,,
Cocina sana y feliz,Connie Achurra,27000,https://contrapunto.cl/cocina/3007-cocina-sana-y-feliz.html,9789562584845,,2021,,,,
Alicia en el País de las Maravillas,Benjamin Lacombe,37620,https://contrapunto.cl/libro-album-ilustrado/943-alicia-en-el-pais-de-las-maravillas.html,9788414002162,"Esta edición presenta la versión íntegra del clásico de Lewis Carroll donde se narran las aventuras de Alicia y otros extraños personajes en el mundo mágico del País de las Maravillas, ilustrado por Benjamin Lacombe. Incluye una sección final con correspondencia del autor con Alice Liddell y otras niñas, apuntes a la edición y datos cronológicos y biográficos. (Edelvives).",2016,,['Literary Criticism'],,
La historia del arte,E. H. Gombrich,47520,https://contrapunto.cl/teoria-e-historia-del-arte/1944-historia-del-arte-la-edicion-pequena.html,9780714863757,,,,,,
Storytelling como estrategia de comunicación,Guillaume Lamarre,28620,https://contrapunto.cl/diseno/7962-storytelling-como-estrategia-de-comunicacion.html,9788425232046,"Érase una vez un mundo en el que la comunicación funcionaba solo en una dirección. Cada día, marcas e instituciones se limitaban a repetir su mensaje muchas veces. Pero entonces, llegó un tsunami digital, arrasó aquel mundo, y el público empezó a decidir cómo y cuándo deseaba recibir la información. Por ese motivo, las marcas tuvieron que reinventar completamente sus estrategias de comunicación. Hasta que un día, apareció el storytelling como una metodología perfectamente adaptada al nuevo contexto. Desde entonces, la comunicación de marcas e instituciones ya no volvería a ser nunca más la simple emisión unilateral de un mensaje. Se convirtió en una forma de tejer un vínculo más complejo y más rico con los usuarios.Las historias nos emocionan, nos inquietan, permanecen en nuestra memoria y reaparecen para influirnos cuando tenemos que actuar. Este libro desgrana el arte del storytelling como técnica de comunicación y lo aborda en todas sus dimensiones -vivencial, cultural, racional- para que comprendamos bien sus mecanismos de funcionamiento y logremos transmitir eficazmente mensajes en forma de narración.Guillaume Lamarre nos lo cuenta todo sobre las historias: su relación con las marcas, sus características fundamentales, su estructura y elementos básicos. a través de la combinación de ejemplos de la cultura popular, campañas de comunicación, explicaciones teóricas, ejercicios prácticos y entrevistas a grandes narradores de nuestro tiempo. Un manual necesario, en definitiva, para hacer que una marca comunique cosas, lanzar acertadamente un producto al mercado o presentar un proyecto de forma convincente.",2020-05,http://books.google.com/books/content?id=8dYnyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Business & Economics'],,
